Date,USD (AM),USD (PM)
1/23/2023,1927.2,1914.85
1/20/2023,1928.75,1924.9
1/19/2023,1907.5,1918.6
1/18/2023,1911.55,1920.7
1/17/2023,1904.95,1913.8
1/16/2023,1915.1,1917
1/13/2023,1904.05,1907.15
1/12/2023,1883.1,1882.55
1/11/2023,1884.25,1872.35
1/10/2023,1875.2,1878.65
1/9/2023,1873.8,1878.85
1/6/2023,1834.5,1852.2
1/5/2023,1850.25,1834
1/4/2023,1857.55,1857.3
1/3/2023,1835.05,1843.25
12/30/2022,1812.35,
12/29/2022,1805.4,1813.75
12/28/2022,1802.65,1803.35
12/23/2022,1797.4,
12/22/2022,1815.2,1800.7
12/21/2022,1813.5,1817.55
12/20/2022,1806.35,1813.9
12/19/2022,1796.5,1790.8
12/16/2022,1780.15,1792.55
12/15/2022,1775.95,1783.55
12/14/2022,1808.2,1808.05
12/13/2022,1785.15,1823.55
12/12/2022,1790.6,1786.6
12/9/2022,1793,1796.15
12/8/2022,1782.45,1790.15
12/7/2022,1771.85,1782.2
12/6/2022,1773.35,1773.8
12/5/2022,1794.35,1776.8
12/2/2022,1800.75,1784.75
12/1/2022,1779.6,1803.15
11/30/2022,1759.65,1753.5
11/29/2022,1755.35,1752.7
11/28/2022,1762.9,1746.55
11/25/2022,1753.55,1751.85
11/24/2022,1755.25,1755.4
11/23/2022,1735.75,1740.15
11/22/2022,1747,1742.95
11/21/2022,1739.65,1740.4
11/18/2022,1764.75,1751.6
11/17/2022,1764.55,1758.6
11/16/2022,1783.2,1773
11/15/2022,1775.1,1771.35
11/14/2022,1757.35,1768.9
11/11/2022,1764.75,1759.35
11/10/2022,1705.65,1744.75
11/9/2022,1705.15,1715.25
11/8/2022,1670.8,1678.65
11/7/2022,1679.9,1678.95
11/4/2022,1648.8,1674.4
11/3/2022,1620.65,1628.75
11/2/2022,1656.45,1649.55
11/1/2022,1652.55,1645.25
10/31/2022,1638.85,1639
10/28/2022,1649.25,1648.05
10/27/2022,1663.3,1659.75
10/26/2022,1670.8,1666.75
10/25/2022,1642.85,1659.25
10/24/2022,1646.35,1649.15
10/21/2022,1624.55,1643.25
10/20/2022,1633.2,1635.3
10/19/2022,1640.7,1631.7
10/18/2022,1652.25,1653
10/17/2022,1658,1664.75
10/14/2022,1655.15,1649.3
10/13/2022,1676.4,1648.1
10/12/2022,1672.3,1670.65
10/11/2022,1664.15,1664.7
10/10/2022,1680.05,1676.55
10/7/2022,1711.5,1696.15
10/6/2022,1716,1714.2
10/5/2022,1712.15,1700.5
10/4/2022,1709.15,1714.85
10/3/2022,1660.8,1668.4
9/30/2022,1672.75,1671.75
9/29/2022,1646.6,1654.8
9/28/2022,1618.2,1652.15
9/27/2022,1632.6,1634.3
9/26/2022,1647,1643.35
9/23/2022,1661.45,1643.55
9/22/2022,1671.85,1671.85
9/21/2022,1674.45,1671.75
9/20/2022,1667.9,1664.15
9/16/2022,1664.3,1664.65
9/15/2022,1689,1689.1
9/14/2022,1703.8,1703.9
9/13/2022,1727.05,1704.85
9/12/2022,1726.5,1726.4
9/9/2022,1726.95,1713.4
9/8/2022,1720.25,1709.35
9/7/2022,1705.05,1702.65
9/6/2022,1712.5,1702.6
9/5/2022,1711.95,1710.95
9/2/2022,1706.9,1712.5
9/1/2022,1706,1694.3
8/31/2022,1712.4,1715.9
8/30/2022,1734,1730.3
8/26/2022,1752.1,1751.25
8/25/2022,1762.4,1753.55
8/24/2022,1752,1745.65
8/23/2022,1739.45,1746.55
8/22/2022,1732.8,1733.25
8/19/2022,1752.9,1750.75
8/18/2022,1765.6,1765.55
8/17/2022,1773.65,1767.2
8/16/2022,1776.15,1774.85
8/15/2022,1781.45,1776.6
8/12/2022,1788.45,1792.1
8/11/2022,1789.7,1796.7
8/10/2022,1793.5,1795.05
8/9/2022,1790.6,1795.25
8/8/2022,1775.7,1784.05
8/5/2022,1786.75,1773.25
8/4/2022,1777.9,1783.2
8/3/2022,1766.6,1761.25
8/2/2022,1772.9,1779.75
8/1/2022,1766.75,1772.4
7/29/2022,1758.9,1753.4
7/28/2022,1746.6,1753.5
7/27/2022,1723.95,1714.05
7/26/2022,1719.85,1720.05
7/25/2022,1731.95,1718.9
7/22/2022,1725,1736.95
7/21/2022,1686.55,1705.1
7/20/2022,1712.65,1709.3
7/19/2022,1712.95,1713.05
7/18/2022,1723.65,1719.05
7/15/2022,1702.55,1706.15
7/14/2022,1716.15,1700.7
7/13/2022,1728.9,1724.6
7/12/2022,1734.35,1730.7
7/11/2022,1737.4,1740
7/8/2022,1737.05,1738.2
7/7/2022,1743.45,1747.95
7/6/2022,1766.65,1754.3
7/5/2022,1804.4,1772
7/4/2022,1807.05,1808.4
7/1/2022,1795.65,1797.45
6/30/2022,1813.6,1817
6/29/2022,1811.85,1817.75
6/28/2022,1827,1819.05
6/27/2022,1838.05,1826.3
6/24/2022,1826.5,1825.45
6/23/2022,1831.4,1841.9
6/22/2022,1827.3,1841.85
6/21/2022,1836.5,1840.25
6/20/2022,1841.2,1836.5
6/17/2022,1849.85,1841.55
6/16/2022,1831.55,1826.5
6/15/2022,1823.15,1823.75
6/14/2022,1823.65,1818.3
6/13/2022,1855.95,1830.85
6/10/2022,1843.35,1830
6/9/2022,1849.25,1844.85
6/8/2022,1848.35,1852.95
6/7/2022,1846.8,1849.6
6/6/2022,1851.5,1847.2
6/1/2022,1829.7,1844.9
5/31/2022,1854.4,1838.7
5/30/2022,1857.25,1854.95
5/27/2022,1858.95,1851.8
5/26/2022,1845.15,1848.25
5/25/2022,1859.05,1847.2
5/24/2022,1858.6,1867.1
5/23/2022,1864.3,1856.2
5/20/2022,1846.3,1834.2
5/19/2022,1825.55,1844
5/18/2022,1818.5,1810.65
5/17/2022,1828.05,1825
5/16/2022,1805.8,1809.5
5/13/2022,1824.2,1811.55
5/12/2022,1850.75,1837.05
5/11/2022,1851.75,1851.95
5/10/2022,1862.25,1857.35
5/9/2022,1865.4,1860.9
5/6/2022,1884.3,1882.35
5/5/2022,1895.2,1892.3
5/4/2022,1868.7,1863.65
5/3/2022,1857.9,1869.7
4/29/2022,1915.45,1911.3
4/28/2022,1890,1888.5
4/27/2022,1896.15,1885.8
4/26/2022,1903.4,1904.6
