,Open,High,Low,Close,Adj Close,Volume
13-Jan-23,"3,960.60","4,003.95","3,947.67","3,999.09","3,999.09","2,305,897,000"
9-Jan-23,"3,910.82","4,003.95","3,877.29","3,999.09","3,999.09","20,846,120,000"
2-Jan-23,"3,853.29","3,906.19","3,794.33","3,895.08","3,895.08","16,190,230,000"
26-Dec-22,"3,843.34","3,858.19","3,780.78","3,839.50","3,839.50","12,097,370,000"
19-Dec-22,"3,853.79","3,889.82","3,764.49","3,844.82","3,844.82","18,506,410,000"
12-Dec-22,"3,939.29","4,100.96","3,827.91","3,852.36","3,852.36","25,443,390,000"
5-Dec-22,"4,052.02","4,052.45","3,918.39","3,934.38","3,934.38","20,662,410,000"
28-Nov-22,"4,005.36","4,100.51","3,937.65","4,071.70","4,071.70","22,280,580,000"
21-Nov-22,"3,956.23","4,034.02","3,933.34","4,026.12","4,026.12","12,724,860,000"
14-Nov-22,"3,977.97","4,028.84","3,906.54","3,965.34","3,965.34","21,831,700,000"
7-Nov-22,"3,780.71","4,001.48","3,744.22","3,992.93","3,992.93","24,968,840,000"
30-Oct-22,"3,881.85","3,911.79","3,698.15","3,770.55","3,770.55","24,226,300,000"
23-Oct-22,"3,762.01","3,905.42","3,741.65","3,901.06","3,901.06","23,555,090,000"
16-Oct-22,"3,638.65","3,762.79","3,638.65","3,752.75","3,752.75","22,634,960,000"
9-Oct-22,"3,647.51","3,712.00","3,491.58","3,583.07","3,583.07","21,864,890,000"
2-Oct-22,"3,609.78","3,806.91","3,604.93","3,639.66","3,639.66","22,948,200,000"
25-Sep-22,"3,682.72","3,736.74","3,584.13","3,585.62","3,585.62","24,475,900,000"
18-Sep-22,"3,849.91","3,907.07","3,647.47","3,693.23","3,693.23","21,332,100,000"
11-Sep-22,"4,083.67","4,119.28","3,837.08","3,873.33","3,873.33","24,728,470,000"
4-Sep-22,"3,930.89","4,076.81","3,886.75","4,067.36","4,067.36","15,886,450,000"
28-Aug-22,"4,034.58","4,062.99","3,903.65","3,924.26","3,924.26","19,592,960,000"
21-Aug-22,"4,195.08","4,203.04","4,057.66","4,057.66","4,057.66","18,714,200,000"
14-Aug-22,"4,269.37","4,325.28","4,218.70","4,228.48","4,228.48","19,013,350,000"
7-Aug-22,"4,155.93","4,280.47","4,112.09","4,280.15","4,280.15","21,098,400,000"
31-Jul-22,"4,112.38","4,167.66","4,079.81","4,145.19","4,145.19","21,651,540,000"
24-Jul-22,"3,965.72","4,140.15","3,910.74","4,130.29","4,130.29","20,488,830,000"
17-Jul-22,"3,883.79","4,012.44","3,818.63","3,961.63","3,961.63","20,385,270,000"
10-Jul-22,"3,880.94","3,880.94","3,721.56","3,863.16","3,863.16","19,693,570,000"
3-Jul-22,"3,792.61","3,918.50","3,742.06","3,899.38","3,899.38","17,073,700,000"
26-Jun-22,"3,920.76","3,945.86","3,738.67","3,825.33","3,825.33","21,693,690,000"
19-Jun-22,"3,715.31","3,913.65","3,715.31","3,911.74","3,911.74","23,570,150,000"
12-Jun-22,"3,838.15","3,838.15","3,636.87","3,674.84","3,674.84","30,486,930,000"
5-Jun-22,"4,134.72","4,168.78","3,900.16","3,900.86","3,900.86","21,764,190,000"
29-May-22,"4,151.09","4,177.51","4,073.85","4,108.54","4,108.54","19,471,340,000"
22-May-22,"3,919.42","4,158.49","3,875.13","4,158.24","4,158.24","23,231,370,000"
15-May-22,"4,013.02","4,090.72","3,810.32","3,901.36","3,901.36","24,603,940,000"
8-May-22,"4,081.27","4,081.27","3,858.87","4,023.89","4,023.89","29,126,270,000"
1-May-22,"4,130.61","4,307.66","4,062.51","4,123.34","4,123.34","25,076,170,000"
24-Apr-22,"4,255.34","4,308.45","4,124.28","4,131.93","4,131.93","24,637,900,000"
17-Apr-22,"4,385.63","4,512.94","4,267.62","4,271.78","4,271.78","21,597,890,000"
10-Apr-22,"4,462.64","4,471.00","4,381.34","4,392.59","4,392.59","16,329,620,000"
3-Apr-22,"4,547.97","4,593.45","4,450.04","4,488.28","4,488.28","23,239,490,000"
27-Mar-22,"4,541.09","4,637.30","4,507.57","4,545.86","4,545.86","23,169,700,000"
20-Mar-22,"4,462.40","4,546.03","4,424.30","4,543.06","4,543.06","22,611,740,000"
13-Mar-22,"4,202.75","4,465.40","4,161.72","4,463.12","4,463.12","30,540,660,000"
7-Mar-22,"4,327.01","4,327.01","4,157.87","4,204.31","4,204.31","29,765,730,000"
28-Feb-22,"4,354.17","4,416.78","4,279.54","4,328.87","4,328.87","28,092,740,000"
21-Feb-22,"4,332.74","4,385.34","4,114.65","4,384.65","4,384.65","21,848,520,000"
14-Feb-22,"4,412.61","4,489.55","4,327.22","4,348.87","4,348.87","22,562,340,000"
7-Feb-22,"4,505.75","4,590.03","4,401.41","4,418.64","4,418.64","23,778,810,000"
31-Jan-22,"4,431.79","4,595.31","4,414.02","4,500.53","4,500.53","23,505,280,000"
24-Jan-22,"4,356.32","4,453.23","4,222.62","4,431.85","4,431.85","27,889,090,000"
17-Jan-22,"4,632.24","4,632.24","4,395.34","4,397.94","4,397.94","19,444,410,000"
10-Jan-22,"4,655.34","4,748.83","4,582.24","4,662.85","4,662.85","21,251,840,000"
3-Jan-22,"4,778.14","4,818.62","4,662.74","4,677.03","4,677.03","21,878,940,000"
27-Dec-21,"4,733.99","4,808.93","4,733.99","4,766.18","4,766.18","14,244,290,000"
