,Open,High,Low,Close,Adj Close,Volume
2023-01-13,3960.6,4003.95,3947.67,3999.09,3999.09,2305897000.0
2023-01-09,3910.82,4003.95,3877.29,3999.09,3999.09,20846120000.0
2023-01-02,3853.29,3906.19,3794.33,3895.08,3895.08,16190230000.0
2022-12-26,3843.34,3858.19,3780.78,3839.5,3839.5,12097370000.0
2022-12-19,3853.79,3889.82,3764.49,3844.82,3844.82,18506410000.0
2022-12-12,3939.29,4100.96,3827.91,3852.36,3852.36,25443390000.0
2022-12-05,4052.02,4052.45,3918.39,3934.38,3934.38,20662410000.0
2022-11-28,4005.36,4100.51,3937.65,4071.7,4071.7,22280580000.0
2022-11-21,3956.23,4034.02,3933.34,4026.12,4026.12,12724860000.0
2022-11-14,3977.97,4028.84,3906.54,3965.34,3965.34,21831700000.0
2022-11-07,3780.71,4001.48,3744.22,3992.93,3992.93,24968840000.0
2022-10-30,3881.85,3911.79,3698.15,3770.55,3770.55,24226300000.0
2022-10-23,3762.01,3905.42,3741.65,3901.06,3901.06,23555090000.0
2022-10-16,3638.65,3762.79,3638.65,3752.75,3752.75,22634960000.0
2022-10-09,3647.51,3712.0,3491.58,3583.07,3583.07,21864890000.0
2022-10-02,3609.78,3806.91,3604.93,3639.66,3639.66,22948200000.0
2022-09-25,3682.72,3736.74,3584.13,3585.62,3585.62,24475900000.0
2022-09-18,3849.91,3907.07,3647.47,3693.23,3693.23,21332100000.0
2022-09-11,4083.67,4119.28,3837.08,3873.33,3873.33,24728470000.0
2022-09-04,3930.89,4076.81,3886.75,4067.36,4067.36,15886450000.0
2022-08-28,4034.58,4062.99,3903.65,3924.26,3924.26,19592960000.0
2022-08-21,4195.08,4203.04,4057.66,4057.66,4057.66,18714200000.0
2022-08-14,4269.37,4325.28,4218.7,4228.48,4228.48,19013350000.0
2022-08-07,4155.93,4280.47,4112.09,4280.15,4280.15,21098400000.0
2022-07-31,4112.38,4167.66,4079.81,4145.19,4145.19,21651540000.0
2022-07-24,3965.72,4140.15,3910.74,4130.29,4130.29,20488830000.0
2022-07-17,3883.79,4012.44,3818.63,3961.63,3961.63,20385270000.0
2022-07-10,3880.94,3880.94,3721.56,3863.16,3863.16,19693570000.0
2022-07-03,3792.61,3918.5,3742.06,3899.38,3899.38,17073700000.0
2022-06-26,3920.76,3945.86,3738.67,3825.33,3825.33,21693690000.0
2022-06-19,3715.31,3913.65,3715.31,3911.74,3911.74,23570150000.0
2022-06-12,3838.15,3838.15,3636.87,3674.84,3674.84,30486930000.0
2022-06-05,4134.72,4168.78,3900.16,3900.86,3900.86,21764190000.0
2022-05-29,4151.09,4177.51,4073.85,4108.54,4108.54,19471340000.0
2022-05-22,3919.42,4158.49,3875.13,4158.24,4158.24,23231370000.0
2022-05-15,4013.02,4090.72,3810.32,3901.36,3901.36,24603940000.0
2022-05-08,4081.27,4081.27,3858.87,4023.89,4023.89,29126270000.0
2022-05-01,4130.61,4307.66,4062.51,4123.34,4123.34,25076170000.0
2022-04-24,4255.34,4308.45,4124.28,4131.93,4131.93,24637900000.0
2022-04-17,4385.63,4512.94,4267.62,4271.78,4271.78,21597890000.0
2022-04-10,4462.64,4471.0,4381.34,4392.59,4392.59,16329620000.0
2022-04-03,4547.97,4593.45,4450.04,4488.28,4488.28,23239490000.0
2022-03-27,4541.09,4637.3,4507.57,4545.86,4545.86,23169700000.0
2022-03-20,4462.4,4546.03,4424.3,4543.06,4543.06,22611740000.0
2022-03-13,4202.75,4465.4,4161.72,4463.12,4463.12,30540660000.0
2022-03-07,4327.01,4327.01,4157.87,4204.31,4204.31,29765730000.0
2022-02-28,4354.17,4416.78,4279.54,4328.87,4328.87,28092740000.0
2022-02-21,4332.74,4385.34,4114.65,4384.65,4384.65,21848520000.0
2022-02-14,4412.61,4489.55,4327.22,4348.87,4348.87,22562340000.0
2022-02-07,4505.75,4590.03,4401.41,4418.64,4418.64,23778810000.0
2022-01-31,4431.79,4595.31,4414.02,4500.53,4500.53,23505280000.0
2022-01-24,4356.32,4453.23,4222.62,4431.85,4431.85,27889090000.0
2022-01-17,4632.24,4632.24,4395.34,4397.94,4397.94,19444410000.0
2022-01-10,4655.34,4748.83,4582.24,4662.85,4662.85,21251840000.0
2022-01-03,4778.14,4818.62,4662.74,4677.03,4677.03,21878940000.0
2021-12-27,4733.99,4808.93,4733.99,4766.18,4766.18,14244290000.0
2021-12-20,4587.9,4740.74,4531.1,4725.79,4725.79,14940780000.0
2021-12-13,4710.3,4731.99,4600.22,4620.64,4620.64,26609380000.0
2021-12-06,4548.37,4713.57,4540.51,4712.02,4712.02,21271750000.0
2021-11-29,4628.75,4672.95,4495.12,4538.43,4538.43,26646380000.0
2021-11-22,4712.0,4743.83,4585.43,4594.62,4594.62,15654820000.0
2021-11-15,4689.3,4717.75,4672.78,4697.96,4697.96,19909710000.0
2021-11-08,4701.48,4714.92,4630.86,4682.85,4682.85,20545980000.0
2021-10-31,4610.62,4718.5,4595.06,4697.53,4697.53,21195930000.0
2021-10-24,4553.69,4608.08,4537.36,4605.38,4605.38,20648340000.0
2021-10-17,4463.72,4559.67,4447.47,4544.9,4544.9,18372450000.0
2021-10-10,4385.44,4475.82,4329.92,4471.37,4471.37,17878150000.0
2021-10-03,4348.84,4429.97,4278.94,4391.34,4391.34,19344290000.0
2021-09-26,4442.12,4457.3,4288.52,4357.04,4357.04,20646370000.0
2021-09-19,4402.95,4465.4,4305.91,4455.48,4455.48,20058800000.0
2021-09-12,4474.81,4492.99,4427.76,4432.99,4432.99,22890790000.0
2021-09-05,4535.38,4535.38,4457.66,4458.58,4458.58,14932410000.0
2021-08-29,4513.76,4545.85,4513.76,4535.43,4535.43,18470230000.0
2021-08-22,4450.29,4513.33,4450.29,4509.37,4509.37,17595630000.0
2021-08-15,4461.65,4480.26,4367.73,4441.67,4441.67,19014210000.0
2021-08-08,4437.77,4468.37,4424.74,4468.0,4468.0,17260230000.0
2021-08-01,4406.86,4440.82,4373.0,4436.52,4436.52,19171320000.0
2021-07-25,4409.58,4429.97,4372.51,4395.26,4395.26,20734210000.0
2021-07-18,4296.4,4415.18,4233.13,4411.79,4411.79,21304580000.0
2021-07-11,4372.41,4393.68,4322.53,4327.16,4327.16,18977190000.0
2021-07-04,4356.46,4371.6,4289.37,4369.55,4369.55,16225570000.0
2021-06-27,4284.9,4355.43,4274.67,4352.34,4352.34,19135150000.0
2021-06-20,4173.4,4286.12,4173.4,4280.7,4280.7,22845800000.0
2021-06-13,4248.31,4257.16,4164.4,4166.45,4166.45,24868180000.0
2021-06-06,4229.34,4249.74,4208.41,4247.44,4247.44,22073020000.0
2021-05-30,4216.52,4234.12,4167.93,4229.89,4229.89,20636100000.0
2021-05-23,4170.16,4218.36,4170.16,4204.11,4204.11,23343500000.0
2021-05-16,4169.92,4188.72,4061.41,4155.86,4155.86,20744780000.0
2021-05-09,4228.29,4236.39,4056.88,4173.85,4173.85,22952900000.0
2021-05-02,4191.98,4238.04,4128.59,4232.6,4232.6,21280680000.0
2021-04-25,4185.03,4218.78,4174.85,4181.17,4181.17,19845940000.0
2021-04-18,4179.8,4194.17,4118.38,4180.17,4180.17,19855210000.0
2021-04-11,4124.71,4191.31,4114.82,4185.47,4185.47,19506210000.0
2021-04-04,4034.44,4129.48,4034.44,4128.8,4128.8,19754600000.0
2021-03-28,3969.31,4020.63,3943.25,4019.87,4019.87,17489870000.0
2021-03-21,3916.48,3978.19,3853.5,3974.54,3974.54,24199790000.0
2021-03-14,3942.96,3983.87,3886.75,3913.1,3913.1,26950850000.0
2021-03-08,3844.39,3960.27,3819.25,3943.34,3943.34,27021810000.0
2021-03-01,3842.51,3914.5,3723.34,3841.94,3841.94,30870960000.0
2021-02-22,3885.55,3928.65,3789.54,3811.15,3811.15,31300040000.0
2021-02-15,3939.61,3950.43,3885.03,3906.71,3906.71,19428610000.0
2021-02-08,3892.59,3937.23,3884.94,3934.83,3934.83,22779770000.0
2021-02-01,3731.17,3894.56,3725.62,3886.83,3886.83,25573900000.0
2021-01-25,3851.68,3870.9,3694.12,3714.24,3714.24,36751000000.0
2021-01-18,3781.88,3861.45,3780.37,3841.47,3841.47,19193280000.0
2021-01-11,3803.14,3823.6,3749.62,3768.25,3768.25,24631190000.0
2021-01-04,3764.61,3826.69,3662.71,3824.68,3824.68,25542330000.0
2020-12-28,3723.03,3760.2,3723.03,3756.07,3756.07,13262640000.0
2020-12-21,3684.28,3711.24,3636.48,3703.06,3703.06,14464830000.0
2020-12-14,3675.27,3726.7,3645.84,3709.41,3709.41,24367880000.0
2020-12-07,3694.73,3712.39,3633.4,3663.46,3663.46,23655640000.0
2020-11-30,3634.18,3699.2,3594.39,3699.12,3699.12,26933100000.0
